page,edit_id,timestamp,summary
[[en:Raj Shah]],830127257,2018-03-12T22:24:43Z,"""Shah was arrested for [[Driving under the influence|DWI]] and [[Reckless driving|careless driving]], and was immediately terminated."""
[[en:Buddy Valastro]],830126203,2018-03-12T22:16:15Z,/* Personal life */ tmi
[[en:D'arcy Wretzky]],830123947,2018-03-12T22:00:33Z,/* 1999–present: Life after the Smashing Pumpkins */ cut
[[en:Curtis Stone]],830123366,2018-03-12T21:56:22Z,"/* Controversies */ bad section title, irrelevant arrest info"
[[en:Ethan Cutkosky]],830123143,2018-03-12T21:54:39Z,/* Personal */ irrelevant
[[en:Daryl Hannah]],830121605,2018-03-12T21:45:03Z,"shift section, cut some minor stuff"
[[en:Daryl Hannah]],830120768,2018-03-12T21:39:53Z,/* Personal life */ uncited / biography.com
[[en:Reese Witherspoon]],830118716,2018-03-12T21:26:16Z,/* Legal troubles */ frivolous
[[en:User talk:Hillbillyholiday]],830082740,2018-03-12T17:10:54Z,/* Another Daily Mail RfC */ narners
[[en:User talk:Hillbillyholiday]],830082368,2018-03-12T17:08:44Z,/* Desert */ Tra la la!
[[en:User talk:Hillbillyholiday]],830082181,2018-03-12T17:07:18Z,/* Old Beardie */ Bring out the Branston!
[[en:Talk:Kurt Cobain]],807392936,2017-10-27T17:26:30Z,Reverted edits by [[Special:Contribs/Lil aries bit|Lil aries bit]] ([[User talk:Lil aries bit|talk]]) to last version by Lowercase sigmabot III
[[en:Wikipedia:Biographies of living persons/Noticeboard]],807105527,2017-10-25T22:59:41Z,/* Shia LaBeouf */ ta
[[en:Wikipedia:Biographies of living persons/Noticeboard]],807105467,2017-10-25T22:59:06Z,/* Shia LaBeouf */ ta
[[en:Wikipedia:Biographies of living persons/Noticeboard]],806919941,2017-10-24T23:17:54Z,/* Shia LaBeouf */ re
[[en:Wikipedia:Biographies of living persons/Noticeboard]],806918628,2017-10-24T23:08:25Z,"/* Shia LaBeouf */ ""He will nut inside us"""
[[en:User talk:Hillbillyholiday]],806916317,2017-10-24T22:52:58Z,/* Singing your praises */ yay it's the [[Backstreet Boys|baccy street boyos]]!
[[en:Wikipedia:Biographies of living persons/Noticeboard]],806875764,2017-10-24T18:07:10Z,/* Shia LaBeouf */ re
[[en:Shia LaBeouf]],806873368,2017-10-24T17:49:34Z,Filled in 3 bare reference(s) with [[:en:WP:REFILL|reFill]] ()
[[en:Shia LaBeouf]],806872238,2017-10-24T17:40:58Z,ce
[[en:Wikipedia:Biographies of living persons/Noticeboard]],806865850,2017-10-24T16:51:56Z,"/* Shia LaBeouf */  ""On n'est jamais servi si bien que par soi-même"""
[[en:Shia LaBeouf]],806865423,2017-10-24T16:48:35Z,"shift, lose subh"
[[en:Shia LaBeouf]],806864446,2017-10-24T16:41:25Z,/* Politics */ not needed
[[en:Shia LaBeouf]],806863592,2017-10-24T16:36:02Z,tag
[[en:Shia LaBeouf]],806862458,2017-10-24T16:29:25Z,"/* Legal troubles and controversy */ big trim of poorly and primary sourced material, the whole section needs re-doing as an overview with *secondary* sources"
[[en:Shia LaBeouf]],806861227,2017-10-24T16:22:29Z,/* Relationships */ too many crappy refs
[[en:Shia LaBeouf]],806860985,2017-10-24T16:20:56Z,/* Relationships */ trim tabloid excesses
[[en:Lion-man]],806735079,2017-10-23T20:55:27Z,"/* Interpretation */ unsourced, synth"
[[en:Lion-man]],806734605,2017-10-23T20:52:16Z,/* Manufacture */ attr.
